"","u","v","branch_lenghts"
"1",230,231,2
"2",231,232,1
"3",232,1,1
"4",232,233,1
"5",233,2,1
"6",233,3,1
"7",231,234,1
"8",234,235,1
"9",235,4,1
"10",235,5,1
"11",234,236,1
"12",236,6,1
"13",236,7,1
"14",230,237,2
"15",237,238,1
"16",238,239,1
"17",239,240,1
"18",240,241,1
"19",241,242,1
"20",242,8,1
"21",242,9,1
"22",241,243,1
"23",243,10,1
"24",243,11,1
"25",240,244,1
"26",244,245,1
"27",245,12,1
"28",245,13,1
"29",244,246,1
"30",246,14,1
"31",246,15,1
"32",239,247,1
"33",247,248,1
"34",248,249,1
"35",249,16,1
"36",249,17,1
"37",248,250,1
"38",250,18,1
"39",250,19,1
"40",247,251,1
"41",251,252,1
"42",252,20,1
"43",252,21,1
"44",251,253,1
"45",253,22,1
"46",253,23,1
"47",238,254,1
"48",254,255,1
"49",255,256,1
"50",256,257,1
"51",257,24,1
"52",257,25,1
"53",256,258,1
"54",258,26,1
"55",258,27,1
"56",255,259,1
"57",259,260,1
"58",260,28,1
"59",260,29,1
"60",259,261,1
"61",261,30,1
"62",261,31,1
"63",254,262,1
"64",262,263,1
"65",263,264,1
"66",264,32,1
"67",264,265,1
"68",265,33,1
"69",265,34,1
"70",263,266,1
"71",266,267,1
"72",267,35,1
"73",267,36,1
"74",266,268,1
"75",268,37,1
"76",268,38,1
"77",262,269,1
"78",269,270,1
"79",270,271,1
"80",271,39,1
"81",271,40,1
"82",270,272,1
"83",272,41,1
"84",272,42,1
"85",269,273,1
"86",273,274,1
"87",274,43,1
"88",274,44,1
"89",273,275,1
"90",275,45,1
"91",275,46,1
"92",237,276,1
"93",276,277,1
"94",277,278,1
"95",278,47,1
"96",278,279,1
"97",279,48,1
"98",279,49,1
"99",277,280,1
"100",280,50,1
"101",280,281,1
"102",281,282,1
"103",282,283,1
"104",283,284,1
"105",284,51,1
"106",284,52,1
"107",283,285,1
"108",285,53,1
"109",285,54,1
"110",282,286,1
"111",286,287,1
"112",287,55,1
"113",287,56,1
"114",286,288,1
"115",288,57,1
"116",288,58,1
"117",281,289,1
"118",289,290,1
"119",290,291,1
"120",291,59,1
"121",291,60,1
"122",290,292,1
"123",292,61,1
"124",292,293,1
"125",293,62,1
"126",293,63,1
"127",289,294,1
"128",294,295,1
"129",295,296,1
"130",296,64,1
"131",296,65,1
"132",295,297,1
"133",297,66,1
"134",297,67,1
"135",294,298,1
"136",298,299,1
"137",299,68,1
"138",299,69,1
"139",298,300,1
"140",300,70,1
"141",300,71,1
"142",276,301,1
"143",301,302,1
"144",302,303,1
"145",303,304,1
"146",304,72,1
"147",304,305,1
"148",305,306,1
"149",306,73,1
"150",306,74,1
"151",305,307,1
"152",307,75,1
"153",307,308,1
"154",308,76,1
"155",308,77,1
"156",303,309,1
"157",309,310,1
"158",310,78,1
"159",310,311,1
"160",311,79,1
"161",311,80,1
"162",309,312,1
"163",312,313,1
"164",313,314,1
"165",314,315,1
"166",315,81,1
"167",315,82,1
"168",314,316,1
"169",316,83,1
"170",316,84,1
"171",313,317,1
"172",317,318,1
"173",318,85,1
"174",318,86,1
"175",317,319,1
"176",319,87,1
"177",319,88,1
"178",312,320,1
"179",320,321,1
"180",321,322,1
"181",322,89,1
"182",322,90,1
"183",321,323,1
"184",323,91,1
"185",323,92,1
"186",320,324,1
"187",324,325,1
"188",325,93,1
"189",325,94,1
"190",324,326,1
"191",326,327,1
"192",327,95,1
"193",327,96,1
"194",326,328,1
"195",328,97,1
"196",328,98,1
"197",302,329,1
"198",329,330,1
"199",330,331,1
"200",331,332,1
"201",332,99,1
"202",332,100,1
"203",331,333,1
"204",333,101,1
"205",333,102,1
"206",330,334,1
"207",334,335,1
"208",335,103,1
"209",335,104,1
"210",334,336,1
"211",336,337,1
