"","u","v","branch_lenghts"
"1",717,718,2
"2",718,719,1
"3",719,1,1
"4",719,720,1
"5",720,2,1
"6",720,3,1
"7",718,721,1
"8",721,4,1
"9",721,722,1
"10",722,723,1
"11",723,5,1
"12",723,6,1
"13",722,724,1
"14",724,7,1
"15",724,725,1
"16",725,8,1
"17",725,9,1
"18",717,726,3
"19",726,727,1
"20",727,728,1
"21",728,729,1
"22",729,10,1
"23",729,11,1
"24",728,730,1
"25",730,12,1
"26",730,731,1
"27",731,13,1
"28",731,14,1
"29",727,732,1
"30",732,733,1
"31",733,734,1
"32",734,15,1
"33",734,16,1
"34",733,735,1
"35",735,17,1
"36",735,18,1
"37",732,736,1
"38",736,19,1
"39",736,737,1
"40",737,20,1
"41",737,21,1
"42",726,738,1
"43",738,739,1
"44",739,740,1
"45",740,741,1
"46",741,742,1
"47",742,743,1
"48",743,22,1
"49",743,23,1
"50",742,744,1
"51",744,24,1
"52",744,25,1
"53",741,745,1
"54",745,746,1
"55",746,26,1
"56",746,27,1
"57",745,747,1
"58",747,28,1
"59",747,748,1
"60",748,29,1
"61",748,30,1
"62",740,749,1
"63",749,750,1
"64",750,31,1
"65",750,751,1
"66",751,32,1
"67",751,33,1
"68",749,752,1
"69",752,34,1
"70",752,753,1
"71",753,35,1
"72",753,754,1
"73",754,36,1
"74",754,37,1
"75",739,755,1
"76",755,756,1
"77",756,757,1
"78",757,758,1
"79",758,759,1
"80",759,38,1
"81",759,39,1
"82",758,760,1
"83",760,40,1
"84",760,41,1
"85",757,761,1
"86",761,42,1
"87",761,762,1
"88",762,763,1
"89",763,43,1
"90",763,44,1
"91",762,764,1
"92",764,45,1
"93",764,765,1
"94",765,46,1
"95",765,47,1
"96",756,766,1
"97",766,767,1
"98",767,768,1
"99",768,769,1
"100",769,770,1
"101",770,771,1
"102",771,48,1
"103",771,49,1
"104",770,772,1
"105",772,50,1
"106",772,51,1
"107",769,773,1
"108",773,774,1
"109",774,52,1
"110",774,53,1
"111",773,775,1
"112",775,54,1
"113",775,55,1
"114",768,776,1
"115",776,777,1
"116",777,778,1
"117",778,56,1
"118",778,57,1
"119",777,779,1
"120",779,58,1
"121",779,59,1
"122",776,780,1
"123",780,781,1
"124",781,60,1
"125",781,782,1
"126",782,61,1
"127",782,62,1
"128",780,783,1
"129",783,784,1
"130",784,63,1
"131",784,64,1
"132",783,785,1
"133",785,65,1
"134",785,66,1
"135",767,786,1
"136",786,787,1
"137",787,788,1
"138",788,67,1
"139",788,68,1
"140",787,789,1
"141",789,790,1
"142",790,69,1
"143",790,70,1
"144",789,791,1
"145",791,71,1
"146",791,72,1
"147",786,792,1
"148",792,73,1
"149",792,74,1
"150",766,793,1
"151",793,794,1
"152",794,75,1
"153",794,795,1
"154",795,796,1
"155",796,76,1
"156",796,77,1
"157",795,797,1
"158",797,78,1
"159",797,79,1
"160",793,798,1
"161",798,80,1
"162",798,799,1
"163",799,81,1
"164",799,800,1
"165",800,82,1
"166",800,83,1
"167",755,801,1
"168",801,802,1
"169",802,803,1
"170",803,804,1
"171",804,84,1
"172",804,85,1
"173",803,805,1
"174",805,806,1
"175",806,86,1
"176",806,87,1
"177",805,807,1
"178",807,88,1
"179",807,808,1
