"","Var1","Var2","I","Z","p"
"1","B_early","B_early",0.0717304167866658,52.8446719287654,0
"2","NK_cells","B_early",-0.0102440555776354,-10.5153534754056,7.34050290857501e-26
"3","B_mature","B_early",-0.00773854217333552,-7.98545879559007,1.40000622384468e-15
"4","T_CD8","B_early",-0.0150396501525397,-15.2644469231408,1.31941766041271e-52
"5","T_CD4","B_early",-0.0201370151846597,-20.215101007206,7.20975923243269e-91
"6","T_gd","B_early",-0.00474783673752232,-4.88106159524831,1.05516275682701e-06
"7","B_early","NK_cells",-0.0102440555776354,-10.5153534754056,7.3405029085721e-26
"8","NK_cells","NK_cells",0.00160804573656632,2.16797855545602,0.0301603181853876
"9","B_mature","NK_cells",0.00112375487944687,0.91465550486795,0.360372510103465
"10","T_CD8","NK_cells",0.00130366390719249,0.890114341674694,0.373404492886865
"11","T_CD4","NK_cells",0.00333512019835907,2.76693002365381,0.00565868999726502
"12","T_gd","NK_cells",0.00156619034024609,1.52006716250493,0.128494096595889
"13","B_early","B_mature",-0.00773854217333551,-7.98545879559006,1.40000622384476e-15
"14","NK_cells","B_mature",0.00112375487944686,0.914655504867931,0.360372510103475
"15","B_mature","B_mature",-0.000585101990721056,0.588566424874671,0.556152162357538
"16","T_CD8","B_mature",0.00256007401602907,2.28796453581358,0.0221395864708087
"17","T_CD4","B_mature",0.00204518233532913,1.71092835612919,0.0870943392563621
"18","T_gd","B_mature",0.00105054418309064,1.01914229838316,0.308135415600307
"19","B_early","T_CD8",-0.0150396501525397,-15.2644469231408,1.31941766041303e-52
"20","NK_cells","T_CD8",0.00130366390719248,0.890114341674684,0.37340449288687
"21","B_mature","T_CD8",0.00256007401602907,2.28796453581358,0.0221395864708088
"22","T_CD8","T_CD8",0.00233019440424976,2.68590760657701,0.00723330876814247
"23","T_CD4","T_CD8",0.00537049408225055,4.48219685312356,7.3878546477969e-06
"24","T_gd","T_CD8",-0.000220362374687379,-0.313902715159333,0.753594928144354
"25","B_early","T_CD4",-0.0201370151846596,-20.2151010072059,7.20975923244203e-91
"26","NK_cells","T_CD4",0.00333512019835909,2.76693002365383,0.00565868999726461
"27","B_mature","T_CD4",0.00204518233532913,1.71092835612919,0.0870943392563619
"28","T_CD8","T_CD4",0.00537049408225056,4.48219685312357,7.38785464779653e-06
"29","T_CD4","T_CD4",0.00422447419095954,4.04855117132699,5.15356673585323e-05
"30","T_gd","T_CD4",0.00160029429459626,1.51746734285997,0.129148732615361
"31","B_early","T_gd",-0.00474783673752235,-4.88106159524833,1.05516275682687e-06
"32","NK_cells","T_gd",0.00156619034024608,1.52006716250492,0.128494096595891
"33","B_mature","T_gd",0.00105054418309065,1.01914229838317,0.308135415600302
"34","T_CD8","T_gd",-0.000220362374687381,-0.313902715159335,0.753594928144353
"35","T_CD4","T_gd",0.00160029429459628,1.51746734285998,0.129148732615356
"36","T_gd","T_gd",-0.000563988919469708,0.639365828367674,0.522584973570791
